cube_id,reason
2015-0011-MOZ,Too few ctx observations (0)
2015-0011-MWI,Too few ctx observations (0)
2015-0030-MWI,Too few ctx observations (0)
2015-0030-ZWE,Too few ctx observations (0)
2015-0106-CHL,Too few ctx observations (0)
2015-0118-IND,Too few ctx observations (0)
2015-0135-AUS,Too few ctx observations (0)
2015-0158-KEN,Too few ctx observations (0)
2015-0160-CHN,Too few ctx observations (0)
2015-0168-CUB,Too few ctx observations (0)
2015-0198-SLV,Too few ctx observations (0)
2015-0252-CHN,Too few ctx observations (0)
2015-0258-IRN,Too few ctx observations (0)
2015-0263-POL,Too few ctx observations (1)
2015-0288-PAK,Too few ctx observations (0)
2015-0375-DOM,Too few ctx observations (0)
2015-0375-HTI,Too few ctx observations (0)
2015-0399-USA,Too few ctx observations (0)
2015-0434-FRA,Too few ctx observations (4)
2015-0451-FRA,No valid target observations
2015-0459-USA,Too few ctx observations (0)
2015-0465-HRV,Too few ctx observations (1)
2015-0479-BHS,Too few ctx observations (0)
2015-0544-SOM,Too few ctx observations (0)
2016-0115-URY,Too few ctx observations (2)
2016-0118-CHL,No valid target observations
2016-0153-LKA,Too few ctx observations (2)
2016-0175-BGD,No valid target observations
2016-0232-MMR,No valid target observations
2016-0234-IND,No valid target observations
2016-0237-IND,No valid target observations
2016-0426-ROU,No valid target observations
2016-0522-BOL,No valid target observations
2016-0523-ZWE,No valid target observations
2017-0152-MMR,No valid target observations
2017-0265-IND,No valid target observations
2018-0199-IND,No valid target observations
2018-0202-IND,No valid target observations
2018-0203-BGD,No valid target observations
2018-0205-IND,No valid target observations
2019-0288-IND,No valid target observations
2019-0321-IND,No valid target observations
2022-0843-MWI,No valid target observations
